Name,Treatment,Linage,15,43,Sig15,Sig43,Strategy
606P,Ancestor,,,,,,Other
607P,Ancestor,,,,,,Other
R606-1,Random,606,-1,1,0.627529994,0.120020681,Other
R606-2,Random,606,-1,1.203291029,0.149462826,0.005247502,Specialist
R606-3,Random,606,-1,1,0.585833142,0.196930896,Other
R606-4,Random,606,-1,1.189927569,0.321772901,0.015441671,Specialist
F606-1,Fast,606,-1,1.237650182,0.573765556,0.008920742,Specialist
F606-2,Fast,606,-1,1.443776887,0.065949122,0.001271407,Specialist
F606-3,Fast,606,-1,1.355157515,0.438206509,0.000906914,Specialist
F606-4,Fast,606,-1.400415599,1,0.010482843,0.06095859,Other
S606-1,Slow,606,-1,1.352762307,0.076449994,0.029721213,Specialist
S606-2,Slow,606,-0.662154765,1.324935492,0.001899785,0.028250249,Specialist
S606-3,Slow,606,-1.183637722,1,0.007323441,0.097421222,Other
S606-4,Slow,606,-1.12144247,1.181308171,0.040897673,0.012081733,Generalist
R607-1,Random,607,-1.098999778,1.756286948,0.005395524,0.000243536,Generalist
R607-2,Random,607,-1,1.090391749,0.734842401,0.005234069,Specialist
R607-3,Random,607,-1,1.196968787,0.096897555,0.001352738,Specialist
R607-4,Random,607,-1,1.333747207,0.563684508,0.022856276,Specialist
F607-1,Fast,607,-1.260649576,1.344327434,0.03604245,0.001159525,Generalist
F607-2,Fast,607,-1.209472437,1.446072249,0.003070835,0.003858551,Generalist
F607-3,Fast,607,-1.274470257,1.121716524,0.000272224,0.020267325,Generalist
F607-4,Fast,607,-1,1.091492315,0.331251936,0.028485224,Specialist
S607-1,Slow,607,-1.770438692,1.33429868,0.000364843,0.013196499,Generalist
S607-2,Slow,607,-0.624166716,1.638769962,0.001442781,0.006228793,Specialist
S607-3,Slow,607,-1.328453134,1.664445353,0.003349418,0.001640635,Generalist
S607-4,Slow,607,-1.235319922,1.566465937,0.011216985,0.00179836,Generalist